,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Evacuation Costs,Total investment costs,Expected Annual Damage other dike rings,Expected Number of Deaths other dike rings,A.3_Expected Annual Damage,A.3_Expected Number of Deaths
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3949.072275030313,106858339.58470611,23779595.66258648,0.009827154529101,120359029.07254264,0.09459517573215329
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,80073618.90859988,39819715.04489044,0.041043926218834494,120520017.87258536,0.2634026951078979
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0,106858339.58470611,23779595.66258648,0.027297651469725008,120359029.07254264,0.2627643770337591
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0,88912505.26026274,62471089.34987533,0.07170704512866385,29751268.585980065,0.06534891003808135
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,3,0,0,0,2,0,0,2999.247824822842,131849881.32761651,22386560.04917239,0.007351960768116358,82457754.78959152,0.06492612688093867
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4229.353153153885,100537539.27503987,30268540.39762031,0.011201653773842371,120359029.07254264,0.09459517573215329
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,4077.577929379559,91418703.10986844,24113709.954816006,0.009450937013503306,120520017.87258536,0.09482497023884322
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,3895.4692009478426,107869619.49456164,22452093.36650528,0.009519434829845737,120359029.07254264,0.09459517573215329
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0.0,117467197.1058977,1870865.6509088152,0.0022620637590453274,120520017.87258536,0.2634026951078979
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,82591704.9505965,68960034.08490917,0.07552509858627879,29751268.585980065,0.06534891003808135
